run_id,question_id,category,condition,query,retrieved_chunk_ids,retrieved_authority_tags,retrieved_award_years,retrieved_documents,answer,faithfulness,prompt_tokens,completion_tokens,total_tokens,model_name,timestamp
61,M2-06,M2,Baseline-LLM,My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?,,,,,"No, your parents' refusal to help pay for college does not automatically make you considered independent for financial aid purposes. Independence for financial aid is determined by specific criteria set by the federal government, such as age, marital status, or having dependents, rather than your parents' willingness to contribute.",0.0,70,59,129,gpt-4o-mini-2024-07-18,2026-06-12T15:40:37.674651+00:00
62,M2-06,M2,RAG-Standard,My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?,chunk_000807 | chunk_001201 | chunk_000922 | chunk_000420 | chunk_000857,federal-outdated | federal-outdated | federal-outdated | federal-primary | federal-outdated,2024-25 | 2024-25 | 2024-25 | 2025-26 | 2024-25,avg_ch2_202425.txt | vol2_intro_202425.txt | avg_ch5_202425.txt | vol2_intro_202526.txt | avg_ch3_202425.txt,"No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and would need to include your parents' income and assets on the FAFSA.",1.0,2059,47,2106,gpt-4o-mini-2024-07-18,2026-06-12T15:40:44.376908+00:00
63,M2-06,M2,RAG-AuthAware,My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?,chunk_000420 | chunk_000807 | chunk_001201 | chunk_000922 | chunk_000857,federal-primary | federal-outdated | federal-outdated | federal-outdated | federal-outdated,2025-26 | 2024-25 | 2024-25 | 2024-25 | 2024-25,vol2_intro_202526.txt | avg_ch2_202425.txt | vol2_intro_202425.txt | avg_ch5_202425.txt | avg_ch3_202425.txt,"No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and required to include your parents' information on the FAFSA.",1.0,2059,44,2103,gpt-4o-mini-2024-07-18,2026-06-12T15:40:49.682664+00:00
64,M2-07,M2,Baseline-LLM,What is the difference between a subsidized and an unsubsidized loan?,,,,,"The context provided does not contain information about the difference between a subsidized and an unsubsidized loan. Therefore, I cannot answer that question.",0.0,66,29,95,gpt-4o-mini-2024-07-18,2026-06-12T15:40:50.827624+00:00
65,M2-07,M2,RAG-Standard,What is the difference between a subsidized and an unsubsidized loan?,chunk_001604 | chunk_000510 | chunk_001297 | chunk_001292 | chunk_000506,federal-consumer | federal-primary | federal-outdated | federal-outdated | federal-primary,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2025-26,subsidized_loans.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt,"The main difference between a Direct Subsidized Loan and a Direct Unsubsidized Loan is that Direct Subsidized Loans are available only to undergraduate students with financial need, while Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without a requirement to demonstrate financial need.

Additionally, the U.S. Department of Education pays the interest on Direct Subsidized Loans while the borrower is in school at least half-time, during the first six months after leaving school (grace period), and during periods of deferment. In contrast, the borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.",1.0,2060,128,2188,gpt-4o-mini-2024-07-18,2026-06-12T15:41:01.269607+00:00
66,M2-07,M2,RAG-AuthAware,What is the difference between a subsidized and an unsubsidized loan?,chunk_000510 | chunk_000506 | chunk_001604 | chunk_001297 | chunk_001292,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol3_ch3_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt,"Direct Subsidized Loans are available to undergraduate students with financial need, and the U.S. Department of Education pays the interest on these loans while the student is in school at least half-time, during the grace period, and during deferment. 

In contrast, Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without the requirement to demonstrate financial need. The borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.",1.0,2060,95,2155,gpt-4o-mini-2024-07-18,2026-06-12T15:41:12.508446+00:00
67,M2-08,M2,Baseline-LLM,Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?,,,,,"The context does not provide specific information about losing financial aid due to failing classes while maintaining a GPA above 2.0. Therefore, I cannot answer your question based on the provided information.",0.0,74,38,112,gpt-4o-mini-2024-07-18,2026-06-12T15:41:13.606593+00:00
68,M2-08,M2,RAG-Standard,Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?,chunk_001632 | chunk_001633 | chunk_001634 | chunk_000204 | chunk_001637,institutional | institutional | institutional | federal-primary | institutional,N/A | N/A | N/A | 2025-26 | N/A,umich_sap.txt | uw_sap.txt | uw_sap.txt | vol1_ch1_202526.txt | uw_sap.txt,"Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.",1.0,1616,72,1688,gpt-4o-mini-2024-07-18,2026-06-12T15:41:19.132530+00:00
69,M2-08,M2,RAG-AuthAware,Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?,chunk_000204 | chunk_001632 | chunk_001633 | chunk_001634 | chunk_001637,federal-primary | institutional | institutional | institutional | institutional,2025-26 | N/A | N/A | N/A | N/A,vol1_ch1_202526.txt | umich_sap.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt,"Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.",1.0,1616,72,1688,gpt-4o-mini-2024-07-18,2026-06-12T15:41:25.349522+00:00
70,M2-09,M2,Baseline-LLM,Does my financial aid get affected if I change my major?,,,,,"The context does not provide information about how changing your major affects financial aid. Therefore, I cannot answer your question.",0.0,63,23,86,gpt-4o-mini-2024-07-18,2026-06-12T15:41:26.133032+00:00
71,M2-09,M2,RAG-Standard,Does my financial aid get affected if I change my major?,chunk_001399 | chunk_001520 | chunk_000615 | chunk_000904 | chunk_000164,federal-outdated | federal-outdated | federal-primary | federal-outdated | federal-primary,2024-25 | 2024-25 | 2025-26 | 2024-25 | 2025-26,vol5_intro_202425.txt | vol6_intro_202425.txt | vol5_intro_202526.txt | avg_ch4_202425.txt | fsa_handbook_202526_index.txt,"The provided context does not contain information regarding the impact of changing a major on financial aid. Therefore, I cannot answer your question based on the available information.",1.0,1889,31,1920,gpt-4o-mini-2024-07-18,2026-06-12T15:41:32.217076+00:00
72,M2-09,M2,RAG-AuthAware,Does my financial aid get affected if I change my major?,chunk_000615 | chunk_000164 | chunk_001399 | chunk_001520 | chunk_000904,federal-primary | federal-primary | federal-outdated | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25,vol5_intro_202526.txt | fsa_handbook_202526_index.txt | vol5_intro_202425.txt | vol6_intro_202425.txt | avg_ch4_202425.txt,"The context provided does not contain information regarding how changing a major affects financial aid. Therefore, I cannot answer your question based on the available information.",1.0,1889,29,1918,gpt-4o-mini-2024-07-18,2026-06-12T15:41:33.779537+00:00
73,M2-10,M2,Baseline-LLM,What happens to my financial aid if I take a semester off?,,,,,The context does not provide information about what happens to financial aid if you take a semester off.,0.0,64,19,83,gpt-4o-mini-2024-07-18,2026-06-12T15:41:34.387848+00:00
74,M2-10,M2,RAG-Standard,What happens to my financial aid if I take a semester off?,chunk_001632 | chunk_001399 | chunk_000534 | chunk_000999 | chunk_001325,institutional | federal-outdated | federal-primary | federal-outdated | federal-outdated,N/A | 2024-25 | 2025-26 | 2024-25 | 2024-25,umich_sap.txt | vol5_intro_202425.txt | vol5_ch1_202526.txt | vol1_ch1_202425.txt | vol5_ch1_202425.txt,"The context does not provide specific information about what happens to financial aid if you take a semester off. Therefore, I cannot answer your question clearly based on the provided information.",1.0,1844,34,1878,gpt-4o-mini-2024-07-18,2026-06-12T15:41:36.029730+00:00
75,M2-10,M2,RAG-AuthAware,What happens to my financial aid if I take a semester off?,chunk_000534 | chunk_001632 | chunk_001399 | chunk_000999 | chunk_001325,federal-primary | institutional | federal-outdated | federal-outdated | federal-outdated,2025-26 | N/A | 2024-25 | 2024-25 | 2024-25,vol5_ch1_202526.txt | umich_sap.txt | vol5_intro_202425.txt | vol1_ch1_202425.txt | vol5_ch1_202425.txt,"The context does not provide specific information about what happens to financial aid if a student takes a semester off. Therefore, I cannot answer your question clearly based on the provided information.",1.0,1844,35,1879,gpt-4o-mini-2024-07-18,2026-06-12T15:41:37.383294+00:00
76,M2-11,M2,Baseline-LLM,Can a graduate student get a Pell Grant?,,,,,"No, graduate students are not eligible for Pell Grants. Pell Grants are typically awarded only to undergraduate students who demonstrate financial need.",0.0,60,25,85,gpt-4o-mini-2024-07-18,2026-06-12T15:41:38.390181+00:00
77,M2-11,M2,RAG-Standard,Can a graduate student get a Pell Grant?,chunk_000740 | chunk_001524 | chunk_001601 | chunk_001598 | chunk_000783,federal-primary | federal-outdated | federal-consumer | federal-consumer | federal-primary,2025-26 | 2024-25 | 2025-26 | 2025-26 | 2025-26,vol7_ch1_202526.txt | vol7_ch1_202425.txt | pell_grant.txt | pell_grant.txt | vol7_intro_202526.txt,"No, a graduate student cannot get a Pell Grant. Pell Grants are generally awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.",1.0,1616,33,1649,gpt-4o-mini-2024-07-18,2026-06-12T15:41:44.839554+00:00
